"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Alvarado, José",621237,"PHI","SIFT","Sinker",1.3,6,"436",58.8,"93","0.21","0.333","0.299",25,24.7,20.5,"0.248","0.367","0.316",42.4
"Strahm, Matt",621381,"PHI","SL","Slider",2.6,9,"342",25,"93","0.151","0.291","0.189",33.3,33.3,24.6,"0.166","0.288","0.2",35
"Junis, Jakob",596001,"SF","SIFT","Sinker",-2.6,-9,"368",26.5,"93","0.418","0.696","0.502",14,16.1,16,"0.295","0.443","0.367",44.6
"Wells, Tyler",669330,"BAL","FC","Cutter",0.5,2,"372",19.5,"93","0.212","0.537","0.367",19.3,19.4,20.5,"0.251","0.554","0.381",44.4
"Irvin, Cole",608344,"BAL","FF","4-Seamer",-0.3,-1,"359",28.2,"93","0.25","0.464","0.338",20.4,24.7,17.7,"0.26","0.542","0.365",40.3
"Lambert, Peter",663567,"COL","CH","Changeup",-1.4,-4,"291",20.1,"93","0.235","0.459","0.347",32.5,32.3,27.3,"0.209","0.374","0.287",40
"King, Michael",650633,"NYY","FF","4-Seamer",1.8,7,"381",22.7,"92","0.2","0.294","0.251",25,33.7,26.3,"0.198","0.345","0.267",40.7
"Blackburn, Paul",621112,"OAK","FC","Cutter",-2.1,-8,"383",20.4,"92","0.435","0.624","0.48",15.9,4.3,7,"0.388","0.542","0.417",20.7
"Greinke, Zack",425844,"KC","SIFT","Sinker",-0.5,-2,"348",15.7,"92","0.333","0.609","0.436",8.1,14.1,16.7,"0.334","0.558","0.399",54.1
"Peralta, Freddy",642547,"MIL","CUKC","Curveball",0.1,0,"354",12.5,"92","0.212","0.376","0.295",34.2,32.6,21.3,"0.195","0.329","0.26",23.6
"Cordero, Jimmy",622772,"NYY","SIFT","Sinker",1.3,5,"359",70.1,"92","0.232","0.354","0.311",17.6,18.5,22.4,"0.272","0.396","0.333",38.5
"Lynch IV, Daniel",663738,"KC","FF","4-Seamer",-1.4,-5,"344",42.6,"92","0.284","0.531","0.379",16.7,12,14.1,"0.278","0.497","0.368",38
"Peterson, David",656849,"NYM","FF","4-Seamer",-1,-5,"512",27.6,"92","0.284","0.432","0.385",27.9,23.9,15.4,"0.284","0.48","0.391",48.1
"Gibson, Kyle",502043,"BAL","FF","4-Seamer",-1,-4,"407",13.4,"92","0.287","0.55","0.383",15.6,9.8,9.4,"0.287","0.546","0.384",52.1
"Blanco, Ronel",669854,"HOU","FF","4-Seamer",-3.5,-13,"364",40.2,"91","0.343","0.714","0.501",18.5,13.2,12.8,"0.316","0.673","0.478",54.2
"Clase, Emmanuel",661403,"CLE","SL","Slider",1.2,4,"358",32,"91","0.19","0.226","0.211",31.3,28.6,19.4,"0.188","0.306","0.236",36.7
"Pérez, Cionel",672335,"BAL","SIFT","Sinker",-1.2,-4,"324",36.9,"91","0.291","0.316","0.367",20,12.1,18.3,"0.242","0.284","0.294",42.6
"Elder, Bryce",693821,"ATL","CH","Changeup",0.8,3,"389",13.7,"91","0.19","0.238","0.24",23.7,17.6,13.9,"0.232","0.332","0.279",23.5
"Brasier, Ryan",518489,"LAD","SL","Slider",1.5,5,"319",35.4,"91","0.12","0.157","0.174",35.8,35.2,22.2,"0.186","0.261","0.24",49.1
"Williams, Gavin",668909,"CLE","SL","Slider",2.8,8,"306",22.1,"91","0.157","0.241","0.237",31.8,26.4,22.4,"0.195","0.251","0.238",30.5
"Abbott, Cory",676265,"WSH","FF","4-Seamer",-2.6,-8,"323",45.9,"91","0.365","0.676","0.474",15.9,16.5,18.8,"0.293","0.544","0.407",45.9
"Manning, Matt",666159,"DET","SL","Slider",0.1,0,"373",31.6,"91","0.185","0.383","0.307",26.1,15.4,13.9,"0.216","0.418","0.314",34.8
"Gonsolin, Tony",664062,"LAD","SL","Slider",-2.2,-7,"304",18.3,"91","0.268","0.439","0.345",25.3,18.7,14.7,"0.298","0.536","0.382",36.4
"Stripling, Ross",548389,"SF","FF","4-Seamer",0,0,"376",25.9,"90","0.275","0.512","0.374",27.5,28.9,17.7,"0.259","0.501","0.362",48.1
"Wheeler, Zack",554430,"PHI","ST","Sweeper",0.2,1,"385",12.2,"90","0.198","0.36","0.26",39.2,33.3,20.7,"0.204","0.376","0.264",29.8
"Peralta, Freddy",642547,"MIL","CH","Changeup",-0.3,-1,"415",14.6,"90","0.224","0.388","0.305",31.2,20,18.6,"0.233","0.363","0.282",34.3
"Cano, Yennier",666974,"BAL","CH","Changeup",0.3,1,"282",27.7,"90","0.193","0.295","0.222",40.5,38.9,28.2,"0.211","0.322","0.24",30.2
"Cabrera, Edward",665795,"MIA","FF","4-Seamer",0.4,2,"498",27.6,"90","0.214","0.371","0.342",19.3,13.3,10.7,"0.225","0.471","0.377",44.1
