called strikes + whiffs,player_id,player_name,pitch_type,total_pitches,csw_percent,whiffs,called strikes
38,656731,"Megill, Tylor",SL,161,23.6,21,17
148,554430,"Wheeler, Zack",SL,635,23.3,76,72
44,682051,"Hill, Garrett",SL,189,23.3,21,23
35,608032,"Estévez, Carlos",SL,151,23.2,12,23
185,571945,"Mikolas, Miles",SL,800,23.1,83,102
29,641835,"Mayza, Tim",SL,127,22.8,21,8
61,689225,"Brieske, Beau",SL,267,22.8,27,34
166,669302,"Gilbert, Logan",SL,730,22.7,92,74
37,544365,"Bañuelos, Manny",SL,164,22.6,21,16
25,573186,"Stroman, Marcus",SL,111,22.5,22,3
37,592866,"Williams, Trevor",SL,165,22.4,28,9
100,548389,"Stripling, Ross",SL,446,22.4,39,61
45,669060,"Wilson, Bryse",SL,203,22.2,20,25
44,669022,"Gore, MacKenzie",SL,199,22.1,30,14
43,528748,"Castellanos, Humberto",SL,196,21.9,14,29
49,669169,"Heasley, Jonathan",SL,225,21.8,25,24
34,501381,"Pineda, Michael",SL,157,21.7,23,11
29,656685,"Martin, Brett",SL,136,21.3,22,7
33,671345,"Foley, Jason",SL,156,21.2,22,11
50,641582,"Foster, Matt",SL,236,21.2,31,19
27,543606,"Odorizzi, Jake",SL,129,20.9,10,17
25,670124,"Oller, Adam",SL,120,20.8,12,13
22,459429,"McGee, Jake",SL,108,20.4,11,11
27,623167,"Flexen, Chris",SL,134,20.1,18,9
82,622608,"Senzatela, Antonio",SL,412,19.9,37,45
23,672715,"Patiño, Luis",SL,116,19.8,15,8
35,669923,"Kirby, George",SL,187,18.7,13,22
